Rank	Node
0	frontier00083
1	frontier00084
2	frontier00138
3	frontier00141
4	frontier00337
5	frontier00338
6	frontier00465
7	frontier00466
8	frontier00593
9	frontier00594
10	frontier00720
11	frontier00721
12	frontier00849
13	frontier00850
14	frontier00976
15	frontier00977
16	frontier01104
17	frontier01105
18	frontier01232
19	frontier01233
20	frontier01360
21	frontier01361
22	frontier01488
23	frontier01489
24	frontier01571
25	frontier01573
26	frontier01703
27	frontier01704
28	frontier01835
29	frontier01836
30	frontier01950
31	frontier01982
32	frontier02097
33	frontier02110
34	frontier02208
35	frontier02229
36	frontier02338
37	frontier02363
38	frontier02473
39	frontier02500
40	frontier02595
41	frontier02623
42	frontier02726
43	frontier02764
44	frontier02854
45	frontier02935
46	frontier02981
47	frontier03032
48	frontier03106
49	frontier03181
50	frontier03238
51	frontier03305
52	frontier03364
53	frontier03402
54	frontier03492
55	frontier03529
56	frontier03592
57	frontier03657
58	frontier03720
59	frontier03797
60	frontier03847
61	frontier03945
62	frontier03975
63	frontier04052
64	frontier04105
65	frontier04181
66	frontier04236
67	frontier04296
68	frontier04371
69	frontier04413
70	frontier04498
71	frontier04543
72	frontier04623
73	frontier04672
74	frontier04753
75	frontier04804
76	frontier04879
77	frontier04923
78	frontier05010
79	frontier05059
80	frontier05135
81	frontier05182
82	frontier05264
83	frontier05308
84	frontier05386
85	frontier05442
86	frontier05513
87	frontier05573
88	frontier05647
89	frontier05742
90	frontier05778
91	frontier05860
92	frontier05903
93	frontier06043
94	frontier06045
95	frontier06199
96	frontier06237
97	frontier06300
98	frontier06336
99	frontier06458
100	frontier06485
101	frontier06611
102	frontier06627
103	frontier06759
104	frontier06772
105	frontier06893
106	frontier06958
107	frontier07009
108	frontier07105
109	frontier07194
110	frontier07264
111	frontier07392
112	frontier07469
113	frontier07513
114	frontier07614
115	frontier07650
116	frontier07780
117	frontier07955
118	frontier08056
119	frontier08208
120	frontier08217
121	frontier08328
122	frontier08368
123	frontier08473
124	frontier08609
125	frontier08725
126	frontier08931
127	frontier09087
