Rank	Node
0	frontier00092
1	frontier00093
2	frontier00094
3	frontier00095
4	frontier00097
5	frontier00098
6	frontier00099
7	frontier00100
8	frontier00101
9	frontier00102
10	frontier00103
11	frontier00104
12	frontier00105
13	frontier00106
14	frontier00107
15	frontier00108
16	frontier00109
17	frontier00110
18	frontier00111
19	frontier00112
20	frontier00113
21	frontier00215
22	frontier00217
23	frontier00218
24	frontier00219
25	frontier00220
26	frontier00221
27	frontier00222
28	frontier00223
29	frontier00224
30	frontier00225
31	frontier00226
32	frontier00227
33	frontier00228
34	frontier00229
35	frontier00230
36	frontier00231
37	frontier00232
38	frontier00233
39	frontier00234
40	frontier00235
41	frontier00236
42	frontier00341
43	frontier00342
44	frontier00343
45	frontier00344
46	frontier00345
47	frontier00346
48	frontier00347
49	frontier00348
50	frontier00349
51	frontier00350
52	frontier00351
53	frontier00352
54	frontier00353
55	frontier00354
56	frontier00355
57	frontier00356
58	frontier00357
59	frontier00358
60	frontier00359
61	frontier00367
62	frontier00368
63	frontier00474
64	frontier00475
65	frontier00476
66	frontier00477
67	frontier00478
68	frontier00479
69	frontier00480
70	frontier00481
71	frontier00482
72	frontier00483
73	frontier00484
74	frontier00485
75	frontier00486
76	frontier00487
77	frontier00488
78	frontier00489
79	frontier00490
80	frontier00491
81	frontier00492
82	frontier00493
83	frontier00494
84	frontier00602
85	frontier00603
86	frontier00604
87	frontier00605
88	frontier00606
89	frontier00607
90	frontier00608
91	frontier00609
92	frontier00610
93	frontier00611
94	frontier00612
95	frontier00613
96	frontier00614
97	frontier00615
98	frontier00616
99	frontier00617
100	frontier00618
101	frontier00619
102	frontier00620
103	frontier00621
104	frontier00622
105	frontier00726
106	frontier00727
107	frontier00728
108	frontier00729
109	frontier00730
110	frontier00731
111	frontier00732
112	frontier00733
113	frontier00734
114	frontier00735
115	frontier00736
116	frontier00737
117	frontier00738
118	frontier00739
119	frontier00740
120	frontier00741
121	frontier00742
122	frontier00743
123	frontier00744
124	frontier00745
125	frontier00746
126	frontier00856
127	frontier00857
128	frontier00858
129	frontier00859
130	frontier00860
131	frontier00861
132	frontier00862
133	frontier00863
134	frontier00864
135	frontier00865
136	frontier00866
137	frontier00867
138	frontier00868
139	frontier00869
140	frontier00870
141	frontier00871
142	frontier00872
143	frontier00873
144	frontier00874
145	frontier00875
146	frontier00876
147	frontier00984
148	frontier00985
149	frontier00986
150	frontier00987
151	frontier00988
152	frontier00989
153	frontier00990
154	frontier00991
155	frontier00992
156	frontier00993
157	frontier00994
158	frontier00995
159	frontier00997
160	frontier00998
161	frontier00999
162	frontier01000
163	frontier01001
164	frontier01002
165	frontier01003
166	frontier01004
167	frontier01005
168	frontier01112
169	frontier01113
170	frontier01114
171	frontier01115
172	frontier01116
173	frontier01117
174	frontier01119
175	frontier01120
176	frontier01121
177	frontier01122
178	frontier01123
179	frontier01124
180	frontier01125
181	frontier01126
182	frontier01127
183	frontier01128
184	frontier01129
185	frontier01130
186	frontier01131
187	frontier01132
188	frontier01133
189	frontier01240
190	frontier01241
191	frontier01242
192	frontier01243
193	frontier01244
194	frontier01245
195	frontier01246
196	frontier01247
197	frontier01248
198	frontier01249
199	frontier01250
200	frontier01251
201	frontier01252
202	frontier01253
203	frontier01254
204	frontier01255
205	frontier01256
206	frontier01257
207	frontier01258
208	frontier01259
209	frontier01260
210	frontier01369
211	frontier01370
212	frontier01371
213	frontier01372
214	frontier01373
215	frontier01374
216	frontier01375
217	frontier01376
218	frontier01377
219	frontier01378
220	frontier01379
221	frontier01380
222	frontier01381
223	frontier01382
224	frontier01383
225	frontier01384
226	frontier01385
227	frontier01386
228	frontier01387
229	frontier01388
230	frontier01389
231	frontier01497
232	frontier01498
233	frontier01499
234	frontier01500
235	frontier01501
236	frontier01502
237	frontier01503
238	frontier01504
239	frontier01505
240	frontier01506
241	frontier01507
242	frontier01508
243	frontier01509
244	frontier01510
245	frontier01511
