Rank	Node
0	c12
1	c08
2	b26
3	c27
4	e29
5	e06
6	c13
7	c02
8	e12
9	e30
10	b32
11	d35
12	b27
13	b24
14	e05
15	d25
16	b31
17	e01
18	e03
19	b30
20	d34
21	e32
22	e08
23	c10
24	d32
25	c05
26	e13
27	c06
28	c01
29	c11
30	b36
31	e26
32	c26
33	e25
34	b29
35	c29
36	e28
37	d31
38	b25
39	c04
40	c28
41	e07
42	c09
43	e31
44	e09
45	e04
46	b33
47	c25
48	e11
49	c03
50	e27
51	c07
52	b34
53	d30
54	b28
55	e10
56	d24
57	e05
58	c06
59	c05
60	c09
61	c29
62	e06
63	c01
64	e28
65	c08
66	e13
67	b36
68	e03
69	e30
70	c26
71	b27
72	c25
73	d35
74	c11
75	e29
76	c03
77	b28
78	b31
79	d25
80	e01
81	e11
82	e04
83	b32
84	b34
85	e07
86	e09
87	e31
88	e08
89	c27
90	d24
91	c04
92	b29
93	b33
94	b24
95	b30
96	c10
97	b26
98	c28
99	c02
100	e32
101	e25
102	c13
103	d34
104	d30
105	d32
106	d31
107	e12
108	b25
109	c07
110	c12
111	e10
112	e26
113	e27
114	c13
115	e28
116	b28
117	b31
118	b34
119	b26
120	d30
121	c05
122	c12
123	e07
124	e12
125	c09
126	e10
127	e09
128	d35
129	e32
130	e01
131	d34
132	d31
133	c27
134	e08
135	e03
136	b30
137	e06
138	e13
139	e04
140	b33
141	c25
142	e27
143	c08
144	c26
145	e26
146	d32
147	e30
148	c03
149	c10
150	d24
151	c02
152	d25
153	c06
154	c29
155	c28
156	b36
157	c11
158	c07
159	b24
160	e29
161	b32
162	b27
163	c04
164	e25
165	c01
166	e31
167	e11
168	b25
169	e05
170	b27
171	e29
172	e10
173	d25
174	b32
175	e13
176	d35
177	b28
178	c08
179	e25
180	e12
181	e05
182	d32
183	e03
184	e07
185	e04
186	c26
187	e27
188	b36
189	e01
190	c29
191	c07
192	c05
193	e09
194	b23
195	c13
196	c01
197	c02
198	c09
199	e30
200	e26
201	e11
202	c11
203	c06
204	d34
205	b26
206	b33
207	d24
208	c04
209	e06
210	c28
211	e31
212	e08
213	b31
214	c12
215	c10
216	b34
217	b25
218	d30
219	c25
220	b24
221	e28
222	d31
223	e32
224	b30
225	c03
226	c27
227	b30
228	e04
229	e12
230	e06
231	e27
232	d31
233	e32
234	d32
235	c29
236	e09
237	d25
238	c13
239	c02
240	b26
241	c07
242	b31
243	c27
244	c10
245	c04
246	e13
247	c08
248	d30
249	b24
250	e26
251	b28
252	b34
253	c12
254	d35
255	c09
256	e07
257	e28
258	e05
259	c26
260	c03
261	d34
262	c05
263	b36
264	c28
265	e29
266	e25
267	e01
268	c01
269	c06
270	b33
271	b32
272	e11
273	b23
274	e31
275	d24
276	e08
277	c25
278	e10
279	e03
280	c11
281	b25
282	b27
283	e30
284	e05
285	c11
286	d29
287	e29
288	c05
289	b36
290	b28
291	b27
292	d30
293	c09
294	b34
295	d34
296	c10
297	e11
298	e06
299	e12
300	c01
301	d31
302	b33
303	c06
304	e01
305	c08
306	d25
307	c02
308	b26
309	c07
310	c03
311	c12
312	e25
313	b23
314	c04
315	e08
316	e13
317	b25
318	b30
319	d35
320	b24
321	e07
322	c26
323	e03
324	c27
325	b31
326	d32
327	e09
328	e27
329	c13
330	e04
331	c28
332	e10
333	e28
334	e30
335	b32
336	e32
337	c25
338	e31
339	d24
340	e26
341	b31
342	e31
343	b34
344	e06
345	d30
346	b33
347	e09
348	d24
349	e01
350	c05
351	b26
352	e12
353	b36
354	c09
355	c11
356	c12
357	e05
358	d31
359	e26
360	b32
361	c26
362	b24
363	b27
364	d32
365	c27
366	e28
367	c08
368	c25
369	e03
370	e08
371	d25
372	e10
373	b25
374	d29
375	e30
376	e29
377	e04
378	c10
379	b23
380	d34
381	c07
382	c28
383	c03
384	e32
385	c06
386	e07
387	b30
388	c02
389	c04
390	e25
391	d35
392	e13
393	c13
394	b28
395	c01
396	e27
397	c25
398	d35
399	c11
400	c28
401	e05
402	b24
403	e04
404	d24
405	b33
406	c05
407	c06
408	c01
409	c04
410	b30
411	c09
412	b26
413	d31
414	b31
415	b27
416	b36
417	d29
418	e28
419	c03
420	e08
421	c13
422	b32
423	d25
424	c07
425	c02
426	e07
427	d32
428	e25
429	e10
430	b28
431	c10
432	b23
433	d34
434	e06
435	e30
436	d30
437	e13
438	e27
439	e32
440	e09
441	e12
442	b34
443	e29
444	c27
445	e31
446	e03
447	c12
448	c26
449	c08
450	e26
451	b25
452	b28
453	e13
454	b27
455	e31
456	c02
457	c25
458	b33
459	e09
460	e06
461	e10
462	c06
463	c28
464	d25
465	b30
466	b24
467	b22
468	c03
469	b32
470	e12
471	b25
472	c11
473	c07
474	d34
475	b36
476	c01
477	c13
478	e26
479	e07
480	b23
481	c08
482	e27
483	e25
484	c10
485	c04
486	e04
487	d31
488	c05
489	e03
490	e29
491	c27
492	e32
493	b31
494	b34
495	b26
496	c26
497	c09
498	d30
499	d23
500	c12
501	e05
502	d32
503	d29
504	e28
505	e30
506	e08
507	d24
508	b23
509	e27
510	c07
511	e07
512	e13
513	c10
514	b34
515	e31
516	e05
517	b30
518	c25
519	c04
520	e10
521	b32
522	c12
523	d24
524	b33
525	b26
526	c26
527	c06
528	e04
529	e06
530	e03
531	d23
532	b27
533	d29
534	e30
535	d25
536	d30
537	e26
538	e11
539	b36
540	c27
541	d31
542	e08
543	e28
544	d32
545	b25
546	c13
547	b22
548	b31
549	e29
550	c05
551	e25
552	b28
553	e09
554	c03
555	c08
556	c11
557	e12
558	c09
559	e32
560	c28
561	c01
562	c02
563	b24
564	e26
565	e29
566	d29
567	e25
568	c11
569	d30
570	b28
571	d23
572	d24
573	e30
574	c10
575	d32
576	e03
577	c27
578	c05
579	b23
580	e31
581	e11
582	e09
583	e28
584	e10
585	c08
586	e06
587	c26
588	d31
589	b30
590	c06
591	b33
592	e08
593	b36
594	c13
595	c25
596	c07
597	e07
598	d25
599	c01
600	e05
601	b27
602	e13
603	e27
604	b32
605	b25
606	e32
607	c28
608	e04
609	c02
610	c09
611	b24
612	e12
613	b31
614	b26
615	b34
616	b22
617	c03
618	c12
619	c04
620	d28
621	d24
622	e28
623	b36
624	d30
625	c02
626	b26
627	b24
628	c07
629	c27
630	c05
631	d25
632	e25
633	c26
634	c01
635	e13
636	b23
637	b27
638	c04
639	c08
640	e09
641	b32
642	e27
643	d29
644	c28
645	b25
646	e31
647	b30
648	d23
649	c03
650	c25
651	b28
652	e05
653	e32
654	e06
655	e07
656	b22
657	e29
658	d32
659	b33
660	c13
661	e26
662	c06
663	c10
664	e10
665	c09
666	b31
667	e04
668	c11
669	e11
670	e30
671	c12
672	d31
673	e12
674	b34
675	e03
676	d28
677	e08
678	c04
679	e11
680	d29
681	e32
682	e27
683	c11
684	e08
685	d25
686	c05
687	b23
688	d28
689	e26
690	b34
691	c07
692	e10
693	b28
694	c26
695	c13
696	c10
697	d23
698	b30
699	d32
700	c25
701	e29
702	c09
703	e05
704	e31
705	d24
